MANDT,KUNNR,DUNS_CONF_CODE,CREATE_TS,CREATE_USER,UPDATE_TS,CAP_IND,COV_ELG_IND
100,0011355523,10,2020-03-17 06:12:28,LH_CREATE,2020-03-26 05:18:53,Y,Y
100,0011882652,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011883460,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011883488,05,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011884786,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011885484,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011886221,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011886315,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011886771,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011889673,08,2020-03-05 15:22:43,LH_CREATE,2020-03-31 05:02:02,N,Y
100,0011890275,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011890287,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011890810,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011891050,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011891387,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011891740,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011892059,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011892239,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011892359,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011892416,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011892531,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011892555,07,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011892556,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011892838,10,2020-03-05 15:22:43,LH_CREATE,2020-03-31 05:02:02,Y,Y
100,0011892850,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011892863,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011893560,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011893764,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011893877,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011894385,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011894691,07,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011894873,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011895209,09,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011895249,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011895674,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011895747,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011895762,07,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011895946,09,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011896058,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011896224,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011896753,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011897077,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011897165,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011897300,00,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011897765,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011898160,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011898221,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011898313,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011898319,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011898840,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011899451,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011899798,06,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011899991,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
100,0011900434,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011900651,06,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011900761,08,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,N,Y
100,0011900773,10,2020-03-05 15:22:43,LH_CREATE,2020-03-05 15:22:43,Y,Y
